"0","1"
397,358
566,556
491,476
381.5,356
392,363
663.5,602
524,485
542.5,515.5
549.5,526.5
402,364.5
450.5,439
538,550.5
434,373.5
470,446
467,446.5
482,450
512,495
402,375
474.5,470.5
470.5,426
443,408
457,447.5
432,487.5
391,367
409.5,373.5
436,430
360.5,342
517.5,437
531,527
562,546
421,383
449,438
553,543
412,399
478.5,463
665,659
632.5,624.5
478.5,453
479,470
475,435
400,388
443.5,415.5
549,536
442,426
615,594.5
404,388
674,521.5
420,384
465,453
406,379
478,472
935.5,947
497,471
787.5,659
441.5,416
548,537
443,416.5
509,499.5
561,542.5
471.5,418.5
461,430
535,481.5
406,405
570,485.5
449,441
469.5,434.5
460,429
377,371
485.5,427
513,481.5
481.5,468.5
469.5,431
499,504
548,536
654,628.5
373,373
600.5,573.5
442,437.5
491,467
412.5,400
554,526
402,384
781,773.5
389.5,341
670,637.5
390.5,389
400.5,371
434,390
414,412
477,479
475.5,479.5
413.5,408
494,499
536.5,501
434.5,427
544.5,519
419.5,396
485,441
448,443
404.5,400
744,735
795,654.5
461.5,439.5
427.5,417
460,436
553,529
456,442
425,414
579.5,494
486,471
426.5,397.5
411,407
485,450
592.5,565
583,575
427,425
439,419.5
652,657
532.5,482
383,377
551,542
385,361
379,370
428,423.5
430,414.5
466.5,445.5
565,506
354,330.5
840,732.5
1106,947
450,445.5
477,420.5
561,546
455.5,416.5
355.5,347.5
491,449.5
439,428
431,411.5
470.5,462.5
421,396
412,419
490.5,496
389,362
478,448
524,502.5
